ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"167.86.76.187","elite","AS51167","DE","Contabo GmbH","93","Contabo GmbH","7497","socks5","5096","1","2023-05-25T12:47:13.807Z","28","488","1761"
"177.70.66.49","elite","AS262544","BR","Sulcom InformÔtica Ltda","239","Sulcom Informática Ltda","4145","socks4","4598","2","2023-05-25T12:47:13.913Z","99","1722","1733"
"118.174.46.146","elite","AS131293","TH","TOT Public Company Limited","199","TOT Public Company Limited","45764","socks4","4294","1","2023-05-25T12:47:13.702Z","96","1754","1832"
"212.83.136.242","elite","AS12876","FR","Online S.A.S.","93","ONLINE","5836","socks4","5199","2","2023-05-25T12:47:13.798Z","100","1803","1804"
"75.119.201.156","elite","AS26347","US","New Dream Network, LLC","147","New Dream Network, LLC","15745","socks4","5012","1","2023-05-25T12:47:13.698Z","100","1834","1834"
"31.128.248.1","elite","AS208139","UA","ISP Avator","42","\"Merlin-Telekom\" LLC","1080","socks5","4804","1","2023-05-25T12:47:08.801Z","98","1805","1846"
"35.230.154.184","elite","AS396982","GB","Google LLC","12","Google Cloud (europe-west2)","3128","socks4","4806","1","2023-05-25T12:47:07.897Z","43","777","1802"
"212.69.12.41","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","91","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4190","1","2023-05-25T12:47:07.900Z","100","1834","1834"
"36.92.9.77","elite","AS7713","ID","TELKOMNET","292","Telkomnet","49420","socks4","4897","1","2023-05-25T12:47:07.906Z","99","1780","1795"
"210.210.154.61","elite","AS4787","ID","CBN","178","N/A","5678","socks5","696","1","2023-05-25T12:47:07.910Z","100","1831","1833"
"177.85.157.25","elite","AS52564","BR","Biazi Telecomunicações Ltda Epp","220","Biazi Telecomunicações Ltda Epp","4153","socks4","4600","1","2023-05-25T12:47:02.009Z","99","1831","1853"
"103.207.98.13","elite","AS134643","ID","JKSNET","224","N/A","41238","socks4","5081","1","2023-05-25T12:47:02.016Z","98","1760","1788"
"185.128.153.79","elite","AS5484","IR","Shabakeh Gostar Shahriyar Co. (Ltd.)","102","CIS IT Group","3128","socks4","3288","1","2023-05-25T12:47:02.006Z","90","1582","1760"
"112.215.33.113","elite","AS17885","ID","XL-AXIATA Tbk GSM","296","N/A","3629","socks4","4807","2","2023-05-25T12:47:02.014Z","97","1723","1772"
"190.119.235.210","elite","AS12252","PE","America Movil Peru S.A.C.","175","America Movil Peru S.A.C","4153","socks4","5100","2","2023-05-25T12:47:01.810Z","86","1538","1791"
"182.23.108.163","elite","AS4800","ID","PT Aplikanusa Lintasarta","194","N/A","4153","socks4","4800","1","2023-05-25T12:47:01.906Z","97","1797","1847"
"178.79.144.186","elite","AS63949","GB","Linode","81","Linode, LLC","8080","socks5","4795","1","2023-05-25T12:47:01.897Z","100","1749","1749"
"178.151.134.232","elite","AS13188","UA","Triolan","100","AZ International LLC","5678","socks4","4009","1","2023-05-25T12:47:01.901Z","90","1580","1757"
"187.189.81.144","elite","AS22884","MX","Total Play Telecomunicaciones SA De CV","150","Total Play Telecomunicaciones SA De CV","4153","socks4","4403","1","2023-05-25T12:47:01.996Z","100","1726","1733"
"190.14.229.242","elite","AS27951","CO","Media Commerce Partners S.A","142","Diversiones Del Oriente","5678","socks4","4308","1","2023-05-25T12:46:59.105Z","99","1838","1852"
"194.146.110.228","elite","AS29496","UA","Link-Service Ltd.","54","Link-Service Ltd.","1080","socks4","3800","1","2023-05-25T12:46:59.009Z","100","1728","1731"
"200.29.237.107","elite","AS27941","CO","Consulnetwork Ltda","291","MONTAÑO SAA LUIS CARLOS","5678","socks4","4308","14","2023-05-25T12:46:59.013Z","91","1656","1824"
"51.83.133.132","elite","AS16276","PL","OVH SAS","31","OVH Sp. z o. o","22027","socks5","5000","2","2023-05-25T12:46:59.304Z","100","1795","1795"
"103.70.159.136","elite","AS133720","IN","speednet","115","N/A","5678","socks4","4198","1","2023-05-25T12:46:59.006Z","99","1717","1734"
"45.112.0.34","elite","AS134000","IN","Gbps Networks Private Limited","203","Gbps Networks Pvt. Ltd.","4145","socks4","4992","2","2023-05-25T12:46:59.019Z","100","1814","1816"
"212.83.142.131","elite","AS12876","FR","Online S.A.S.","2","ONLINE","34584","socks4","3009","2","2023-05-25T12:46:59.099Z","100","1831","1832"
"8.39.228.33","elite","AS3356","US","Level 3 Communications, Inc.","186","Level 3, LLC","39593","socks4","4301","2","2023-05-25T12:46:59.016Z","100","1849","1850"
"41.242.79.244","elite","AS37605","NG","General Telecommunication Networks Limited","193","General Telecommunication Networks Limited","5678","socks4","4516","1","2023-05-25T12:46:59.011Z","95","1639","1730"
"192.12.113.255","elite","AS61942","BR","Rosana Ferreira da Silva Multimidia ME","292","Turbonet Telecom Ltda","4145","socks4","4395","2","2023-05-25T12:46:59.102Z","56","1005","1807"
"171.249.156.0","elite","AS7552","VN","Viettel Corporation","347","VIETEL","5678","socks4","4596","1","2023-05-25T12:46:59.300Z","85","1558","1840"
"50.96.204.50","elite","AS7029","US","Windstream Communications LLC","192","Windstream Communications LLC","18351","socks4","4503","1","2023-05-25T12:46:54.216Z","100","1811","1820"
